MatchId, BotType, Result, TimeMs, TotalClicks
177, ? , DEFEAT, 0, 4
178, ? , DEFEAT, 0, 5
179, ? , DEFEAT, 0, 2
180, ? , DEFEAT, 0, 1
181, ? , DEFEAT, 0, 1
182, ? , DEFEAT, 1, 7
183, ? , DEFEAT, 0, 3
184, ? , DEFEAT, 0, 6
185, ? , DEFEAT, 0, 4
186, ? , DEFEAT, 0, 8
187, ? , DEFEAT, 0, 2
188, ? , DEFEAT, 0, 4
189, ? , DEFEAT, 0, 8
190, ? , VICTORY, 0, 3
191, ? , DEFEAT, 0, 6
192, ? , DEFEAT, 0, 5
193, ? , DEFEAT, 0, 4
194, ? , DEFEAT, 0, 5
195, ? , DEFEAT, 0, 2
196, ? , DEFEAT, 0, 2
197, ? , DEFEAT, 0, 5
198, ? , DEFEAT, 0, 3
199, ? , DEFEAT, 0, 2
200, ? , DEFEAT, 0, 3
201, ? , DEFEAT, 0, 5
202, ? , DEFEAT, 0, 3
203, ? , DEFEAT, 0, 6
204, ? , DEFEAT, 0, 2
205, ? , DEFEAT, 0, 9
206, ? , DEFEAT, 0, 3
207, ? , DEFEAT, 0, 2
208, ? , DEFEAT, 0, 3
209, ? , DEFEAT, 0, 5
210, ? , DEFEAT, 0, 3
211, ? , DEFEAT, 0, 4
212, ? , DEFEAT, 0, 6
213, ? , DEFEAT, 0, 2
214, ? , DEFEAT, 0, 2
215, ? , DEFEAT, 0, 3
216, ? , DEFEAT, 0, 2
217, ? , DEFEAT, 0, 6
218, ? , DEFEAT, 0, 3
219, ? , DEFEAT, 0, 6
220, ? , DEFEAT, 0, 3
221, ? , DEFEAT, 0, 4
222, ? , DEFEAT, 0, 2
223, ? , DEFEAT, 0, 3
224, ? , DEFEAT, 0, 2
225, ? , VICTORY, 0, 4
226, ? , DEFEAT, 0, 1
227, ? , DEFEAT, 0, 3
228, ? , VICTORY, 0, 2
229, ? , DEFEAT, 0, 2
230, ? , DEFEAT, 0, 2
231, ? , DEFEAT, 0, 5
